STATE_NAME,Name and party,Length of regular term in years,Date of first service,Present term ends,Number of previous terms,Term limits,Joint election of governor and lieutenant governor (a),Official who succeeds governor,Birthdate,Birthplace
Alabama,Kay Ivey (R),4,4/2017 (c),1/2023,1 (c),2-4,No,LG,10/15/44,AL
Alaska,Mike Dunleavy (R),4,12/2018,12/2022,. . .,2-4,Yes,LG,5/5/61,PA
Arizona,Doug Ducey (R),4,1/2015,1/2023,1,2-4,(b),SS,4/9/64,OH
Arkansas,Asa Hutchinson (R),4,1/2015,1/2023,1,2A,No,LG,12/3/50,AR
California,Gavin Newsom (D),4,1/2019,1/2023,. . .,2A,No,LG,10/10/67,CA
Colorado,Jared Polis (D),4,1/2019,1/2023,. . .,2-4,Yes,LG,5/12/75,CO
Connecticut,Ned Lamont (D),4,1/2019,1/2023,. . .,. . .,Yes,LG,1/3/54,DC
Delaware,John Carney (D),4,1/2017,1/2025,1,2A,No,LG,5/20/56,DE
Florida,Ron DeSantis (R),4,1/2019,1/2023,. . .,2-4,Yes,LG,9/14/78,FL
Georgia,Brian Kemp (R),4,1/2019,1/2023,. . .,2-4,No,LG,11/2/63,GA
Hawaii,David Ige (D),4,12/2014,12/2022,1,2-4,Yes,LG,6/26/38,NY
Idaho,Brad Little (R),4,1/2019,1/2023,. . .,. . . ,No,LG,2/15/54,ID
Illinois,J.B. Pritzker (D),4,1/2019,1/2023,. . .,. . . ,Yes,LG,1/19/65,CA
Indiana,Eric Holcomb (R),4,1/2017,1/2025,1,2-12,Yes,LG,5/2/68,IN
Iowa,Kim Reynolds (R),4,5/2017 (d) ,1/2023,1 (d),. . . ,Yes,LG,8/4/59,IA
Kansas,Laura Kelly (D),4,1/2019,1/2023,. . .,2-4,Yes,LG,1/24/50,NY
Kentucky,Andy Beshear (D),4,12/2019,12/2023,. . .,2-4,Yes,LG,11/29/77,KY
Louisiana,John Bel Edwards (D),4,1/2016,1/2024,1,2-4,No,LG,9/16/66,LA
Maine,Janet Mills (D),4,1/2019,1/2023,. . .,2-4,(b),PS,12/30/47,ME
Maryland,Larry Hogan (R),4,1/2015,1/2023,1,2-4,Yes,LG,5/25/56,DC
Massachusetts,Charlie Baker (R),4,1/2015,1/2023,1,. . . ,Yes,LG,11/13/56,NY
Michigan,Gretchen Whitmer (D),4,1/2019,1/2023,. . .,2A,Yes,LG,8/23/71,MI
Minnesota,Tim Walz (DFL),4,1/2019,1/2023,. . .,. . .,Yes,LG,4/6/64,NE
Mississippi,Tate Reeves (R),4,1/2020,1/2024,. . .,2A,Yes,LG,6/5/74,MS
Missouri,Mike Parson (R),4,6/2018 (e),1/2025,1 (e),2A,No,LG,9/17/55,MO
Montana,Greg Gianforte (R),4,1/2021,1/2025,. . .,2-16,Yes,LG,4/17/61,CA
Nebraska,Pete Ricketts (R),4,1/2015,1/2023,1,2-4,Yes,LG,8/19/64,NE
Nevada,Steve Sisolak (D),4,1/2019,1/2023,. . .,2A,No,LG,12/26/53,WI
New Hampshire,Chris Sununu (R),2,1/2017,1/2023,2,. . . ,(b),PS,11/5/74,NH
New Jersey,Phil Murphy (D),4,1/2018,1/2026,1,2-4,Yes,LG,8/16/57,MA
New Mexico,Michelle Lujan Grisham (D),4,1/2019,1/2023,. . .,2-4,Yes,LG,10/24/59,NM
New York,Kathy Hochul (D),4,8/2021 (k),1/2023,. . .,. . . ,Yes,LG,8/27/57,NY
North Carolina,Roy Cooper (D),4,1/2017,1/2025,1,2-4,No,LG,6/13/57,NC
North Dakota,Doug Burgum (R),4,12/2016 ,12/2024,1,. . . ,Yes,LG,8/1/56,ND
Ohio,Mike DeWine (R),4,1/2019,1/2023,. . .,2-4,Yes,LG,1/5/47,OH
Oklahoma,Kevin Stitt (R),4,1/2019,1/2023,. . .,2-A,No,LG,12/28/72,OK
Oregon,Kate Brown (D),4,2/2015 (f),1/2023,1 (f),2-12,(b),SS,3/5/47,WA
Pennsylvania,Tom Wolf (D),4,1/2015,1/2023,1,2-4,Yes,LG,11/17/48,PA
Rhode Island,Dan McKee (D),4,3/2021 (i),1/2023,. . .,2-4,No,LG,6/16/51,RI
South Carolina,Henry McMaster (R),4,1/2017 (g),1/2023,1 (g),2-4,No,LG,5/27/47,SC
South Dakota,Kristi Noem (R),4,1/2019,1/2023,. . .,2-4,Yes,LG,11/30/71,SD
Tennessee,Bill Lee (R),4,1/2019,1/2023,. . .,2-4,No,SpS (h),10/9/59,TN
Texas,Greg Abbott (R),4,1/2015,1/2023,1,. . . ,No,LG,11/13/57,TX
Utah,Spencer Cox (R),4,1/2021,1/2025,. . .,. . . ,Yes,LG,7/11/75,UT
Vermont,Phil Scott (R),2,1/2017,1/2023,2,. . . ,No,LG,8/4/58,VT
Virginia,Glenn Youngkin (R),4,1/2022,1/2026,. . .,1-4 ,No,LG,12/9/66,VA
Washington,Jay Inslee (D),4,1/2013,1/2025,2,. . . ,No,LG,2/9/51,WA
West Virginia,Jim Justice (R),4,1/2017,1/2025,1,2-4,(b),PS (h),4/27/51,WV
Wisconsin,Tony Evers (D),4,1/2019,1/2023,. . .,. . .,Yes,LG,11/5/51,WI
Wyoming,Mark Gordon (R),4,1/2019,1/2023,. . .,2-16,(b),SS,3/14/57,NY
